State	Region	CountyIndex	UrbanIndicator	Population	LandArea	PopulationDensity	PercentMaleDivorce	PercentFemaleDivorce	MedianIncome	IncomeCategory	PercentCollegeGraduates	MedianHouseAge	RobberiesPerPopulation	AssaultsPerPopulation	BurglariesPerPopulation	LarceniesPerPopulation	EducationSpending	EducationSpendingP2	TestScore	RegionNew
Illinois	NC	13	1	53170	10.7	4969.158879	5.73	8.19	46508	38101-50800	30.88	51	33.52	102.42	350.09	2549.35	12331.16452	13138.90514	1660.868224	North Central
Illinois	NC	14	1	19512	6.1	3198.688525	7.73	10.15	49712	38101-50800	49.66	40	43.92	34.16	468.52	2752.56	12321.73491	12967.54869	1698.133644	North Central
Illinois	NC	15	1	19278	5.4	3570	5.82	8.68	47064	38101-50800	38.04	56	89.85	44.93	339.44	3718.86	12617.49736	12967.9858	1667.912598	North Central
Illinois	NC	16	1	29911	8.4	3560.833333	9.26	13.55	39848	38101-50800	29.98	42	19.57	143.5	326.14	2286.22	11905.17596	12746.20293	1620.746324	North Central
Illinois	NC	17	1	13334	3.5	3809.714286	9.24	14.46	40369	38101-50800	19.89	49	196.35	370.88	712.68	2523.45	12768.87797	13083.86108	1603.993445	North Central
Illinois	NC	18	1	53223	14.7	3620.612245	6.91	9.41	42176	38101-50800	21.58	56	44.1	121.26	538.34	2638.4	12050.23979	13121.59117	1608.850851	North Central
Illinois	NC	19	1	19373	14.5	1336.068966	6.21	8.52	51524	>50800	28.37	40	12.51	133.48	371.25	1918.83	12160.99638	12669.31313	1651.816158	North Central
Illinois	NC	20	1	33429	11.1	3011.621622	6.24	9.44	48863	38101-50800	26.51	44	28.8	129.59	480.94	2802.1	12199.86676	12823.8059	1640.310341	North Central
Indiana	NC	1	1	23696	7	3385.142857	6.14	8.72	39437	38101-50800	18.89	55	65.75	245.47	346.29	3476.09	9559.323299	9585.624703	1639.203744	North Central
Indiana	NC	2	1	27257	32.1	849.1277259	7.36	8.63	36221	25401-38100	15.13	50	114.71	301.11	419.4	2806.75	10608.07244	9473.277431	1681.680578	North Central
Indiana	NC	3	0	11677	4.2	2780.238095	11.51	14.64	24868	12701-25400	9.2	57	0	208.84	473.9	3277.11	10243.39241	9501.781515	1599.724893	North Central
Indiana	NC	4	1	60633	15.7	3861.974522	5.7	8.83	18393	12701-25400	47.94	50	15.84	768.45	560.89	2847.23	9663.794253	9504.380452	1602.132236	North Central
Indiana	NC	5	0	16812	6.6	2547.272727	13.2	16.66	20533	12701-25400	6.83	73	11.75	23.5	1040.01	4048.42	10047.61059	9798.909166	1628.176878	North Central
Indiana	NC	6	1	13899	8.6	1616.162791	12.55	13.71	28642	25401-38100	3.91	61	125.82	503.29	999.58	3760.66	10244.76209	9159.57038	1618.667356	North Central
Indiana	NC	7	1	21822	16	1363.875	8.07	10.63	34602	25401-38100	11.71	60	45.03	118.72	446.21	1571.97	10056.29955	9597.744578	1629.711064	North Central
Indiana	NC	8	0	33822	20.3	1666.108374	14.65	16.06	23127	12701-25400	9.43	63	269.01	318.72	1239.8	4903.65	9969.046284	10040.94509	1646.814514	North Central
Indiana	NC	9	0	38705	19	2037.105263	12.17	15.68	20585	12701-25400	12.96	68	99.61	30.65	679.37	3547.53	9730.172092	9398.840068	1598.171683	North Central
Indiana	NC	10	1	116646	52	2243.192308	14.84	18.69	19390	12701-25400	8.81	63	810.28	1102.64	2216.55	3113.59	10033.63696	9437.476494	1564.571812	North Central
Indiana	NC	11	0	12127	5.5	2204.909091	10.35	13.69	25141	12701-25400	10.07	67	8.09	169.92	590.66	1537.34	9805.251165	9456.7807	1617.304217	North Central
Indiana	NC	12	1	13092	4.9	2671.836735	13.2	15.84	29547	25401-38100	17.67	54	113.24	48.53	533.85	5629.7	10458.91735	9615.461572	1606.687095	North Central
Indiana	NC	13	0	17753	5.9	3008.983051	13.08	16.32	19343	12701-25400	7.94	67	31.78	58.26	1149.24	4771.74	9985.409363	9897.266929	1615.482363	North Central
Indiana	NC	14	0	10968	9.8	1119.183673	9.28	13.57	29978	25401-38100	17.85	61	7.66	0	674.43	4222.87	10246.3501	9380.098407	1625.07655	North Central
Indiana	NC	15	1	173072	64.9	2666.748844	11.88	15.27	26344	25401-38100	15.74	60	298.4	171.37	1096.31	5414.49	10076.10631	9709.623507	1664.936142	North Central
Indiana	NC	16	1	84236	23.8	3539.327731	11.44	13.58	26883	25401-38100	9.22	68	336.24	985.99	1373.68	4208.4	10203.26226	9502.360603	1631.170712	North Central
Indiana	NC	17	1	44962	14.9	3017.583893	13.22	17.49	26272	25401-38100	13	63	77.53	348.87	889.42	4052.98	10149.33236	9938.455715	1620.004647	North Central
Indiana	NC	18	0	13584	7.8	1741.538462	10.14	15.22	23156	12701-25400	13.68	63	20.84	27.79	1347.97	4280.16	9911.690137	9644.259146	1650.154596	North Central
Indiana	NC	19	0	11657	6.4	1821.40625	10.27	13.06	29042	25401-38100	13.01	58	22.83	7.61	281.58	1742.77	10365.29895	9330.978036	1520.092395	North Central
Indiana	NC	20	0	16389	7.6	2156.447368	9.88	11.97	25855	25401-38100	12.37	58	35.1	936.06	544.08	2269.94	10045.29766	9377.398023	1638.82917	North Central
Indiana	NC	21	0	19859	6.6	3008.939394	8.52	13.64	18829	12701-25400	13.26	65	15.03	80.14	2649.77	3851.93	10184.65037	9474.462333	1589.603666	North Central
Indiana	NC	22	1	17916	9	1990.666667	8.97	10.03	36562	25401-38100	13.22	53	69.49	347.44	427.62	2576.44	9675.391516	9757.223354	1663.841854	North Central
Indiana	NC	23	1	10923	5.8	1883.275862	5.4	7.29	44358	38101-50800	15.31	44	33.24	41.55	556.71	2127.13	10370.97832	9417.735798	1591.152279	North Central
Indiana	NC	24	1	36322	13.8	2632.028986	12.96	17.35	23933	12701-25400	12.92	62	54.89	1186.74	488.81	3677.85	10313.27715	9450.827376	1657.449161	North Central
Kentucky	SO	1	0	13603	6.4	2125.46875	10.27	15.27	25258	12701-25400	10.29	41	66.46	385.48	618.1	2857.9	9836.376949	8756.816518	1582.813656	South
Kentucky	SO	2	1	18871	2.8	6739.642857	15.53	18.69	18683	12701-25400	7.98	68	169.92	844.31	1624.89	5023.36	9853.336157	9192.598995	1619.989609	South
Kentucky	SO	3	1	23221	10	2322.1	8.89	13.4	38962	38101-50800	27.47	43	46.75	306.02	310.27	1976.37	9708.603594	9436.665819	1565.588703	South
Kentucky	SO	4	1	15535	4.8	3236.458333	12.21	14.08	24966	12701-25400	7.21	58	306.73	255.61	1137.45	2147.1	9822.129331	9529.979355	1584.374977	South
Kentucky	SO	5	0	14439	7.7	1875.194805	6.19	9.99	16961	12701-25400	27.11	52	20.82	270.72	527.56	2221.3	9585.244851	9500.703198	1624.5045	South
Kentucky	SO	6	1	53549	15.5	3454.774194	11.59	15.38	21952	12701-25400	15.31	53	97.95	114.59	1127.4	3938.49	9667.577706	10185.8898	1612.009678	South
Kentucky	SO	7	0	29809	21.1	1412.748815	10.48	16.11	21352	12701-25400	13.39	52	182.84	628.73	1360.11	3320.07	9846.053439	9055.555758	1611.880952	South
Kentucky	SO	8	0	27256	18.2	1497.582418	12.9	16.26	17196	12701-25400	14.56	62	210.31	1343.02	1641.88	5508.62	9649.042993	9286.599749	1570.955632	South
Kentucky	SO	9	0	16200	13.3	1218.045113	11.02	14.61	21468	12701-25400	14.92	53	68.39	968.01	968.01	4450.76	9724.561568	9485.155337	1595.583916	South
Kentucky	SO	10	0	12420	5.8	2141.37931	9.01	13.81	21119	12701-25400	16.06	53	30.4	676.45	988.07	3055.41	9668.958993	9138.100411	1581.74523	South
Kentucky	SO	11	0	11414	4.7	2428.510638	8.94	14.48	22677	12701-25400	14.23	49	84.38	1012.5	1173.58	5346.32	9632.824707	8880.284011	1619.539126	South
Kentucky	SO	12	1	18624	8.6	2165.581395	9.58	14.57	31270	25401-38100	14.17	45	122.84	318.49	691.57	4340.51	9563.534452	9080.975125	1562.586686	South
Michigan	NC	1	1	19899	6.2	3209.516129	12.08	15.54	31250	25401-38100	9.81	61	299	572.22	1000.1	4175.69	11227.51393	11211.01635	1632.098059	North Central
Michigan	NC	2	1	17668	29.1	607.1477663	9.89	12.66	34639	25401-38100	38.51	42	236.86	275.42	1410.16	6626.64	11425.58069	10939.02634	1672.766257	North Central
Michigan	NC	3	1	84724	21.2	3996.415094	10.89	14.27	34995	25401-38100	11.39	53	112.02	400.25	777.17	3141.34	11059.0632	10789.19024	1595.327589	North Central
Michigan	NC	4	1	31846	6.1	5220.655738	8.29	11.34	38717	38101-50800	7.12	61	70.51	169.86	576.87	2961.25	11565.98266	10748.17588	1624.462761	North Central
Michigan	NC	5	0	16322	5	3264.4	10.88	15.34	23220	12701-25400	11.28	72	29.92	460.77	670.22	2579.14	11486.01311	10838.47501	1703.043513	North Central
Michigan	NC	6	1	109592	26.8	4089.253731	5.81	10.29	33344	25401-38100	64.22	54	117.89	307.06	1006.18	3684.75	10963.51202	10935.30989	1623.553873	North Central
Michigan	NC	7	0	11354	8.8	1290.227273	9.13	11.77	20472	12701-25400	13.06	63	17.62	132.18	907.65	4229.82	11363.97228	10799.1185	1642.092944	North Central
Michigan	NC	8	1	22897	37.2	615.5107527	13.33	15.91	31723	25401-38100	5.88	53	216.25	640.11	1397	4960.86	11185.3787	10919.10761	1612.711118	North Central
Michigan	NC	9	1	27617	24.3	1136.502058	11.54	14.36	29961	25401-38100	6.68	60	145.03	416.95	986.19	4923.68	11388.52578	10923.26548	1651.542869	North Central
Michigan	NC	10	1	18372	2.2	8350.909091	13.64	14.67	16751	12701-25400	8.74	68	772.25	1550.53	2871.79	5544.49	11077.63652	10937.06997	1633.678798	North Central
Michigan	NC	11	0	13083	33.6	389.375	8.69	7.75	48481	38101-50800	21.92	46	14.88	81.83	409.17	1621.78	11136.8847	11181.9153	1637.414277	North Central
Michigan	NC	12	1	23748	40.5	586.3703704	7.07	8.75	40982	38101-50800	14.77	53	89.3	158.76	843.42	912.88	11196.90153	11237.09955	1631.142181	North Central
Michigan	NC	13	1	30938	5.5	5625.090909	11.46	12.71	28312	25401-38100	7.85	71	57.26	90.95	343.57	2303.96	11357.79003	10904.02809	1643.347832	North Central
Michigan	NC	14	1	30462	5.2	5858.076923	8.15	14.31	36090	25401-38100	22.16	62	240.37	596.24	1011.43	4154.96	10973.98077	10858.90162	1617.371284	North Central
Michigan	NC	15	1	13899	4.3	3232.325581	7.67	13.3	36644	25401-38100	12.58	49	84.73	261.24	529.55	3325.57	11392.20771	11033.99086	1631.262116	North Central
Michigan	NC	16	1	54516	28.3	1926.360424	5.49	7.46	68654	>50800	47.77	42	17.85	110.68	365.95	1603.06	10940.38859	10755.06205	1647.341035	North Central
Michigan	NC	17	0	12603	6.2	2032.741935	3.21	6.91	14990	12701-25400	31.01	60	71.17	213.52	743.38	3693.16	11258.06455	11430.48786	1636.142038	North Central
Michigan	NC	18	1	23648	16.5	1433.212121	7.11	8.1	53768	>50800	35.87	46	12.35	37.04	209.9	1461.09	11024.3428	11172.98485	1637.55352	North Central
Michigan	NC	19	1	71166	20.7	3437.971014	15.75	19.81	21962	12701-25400	7.95	63	607.12	2038.09	2109.86	2818.88	11210.69849	11156.72991	1601.957793	North Central
Michigan	NC	20	1	16960	2.7	6281.481481	7.37	12.05	36693	25401-38100	20.53	70	66.05	102.08	288.24	1717.41	11258.19137	10978.49483	1592.403543	North Central
Michigan	NC	21	1	51412	10.2	5040.392157	9.29	12.58	32337	25401-38100	6.93	59	150.35	404.79	595.62	5354.77	11153.11356	11138.85715	1652.587586	North Central
Michigan	NC	22	1	12747	35.9	355.0696379	8.91	12.57	32083	25401-38100	9.21	54	53.45	91.63	488.7	1542.46	11384.24509	11346.8717	1602.460953	North Central
Michigan	NC	23	0	10891	38.9	279.9742931	11.55	12.84	34929	25401-38100	6.18	46	17.87	160.86	786.42	1671.13	11161.41295	11307.52188	1596.256302	North Central
Michigan	NC	24	1	12456	5.3	2350.188679	13.05	16.64	23700	12701-25400	15.47	70	152.45	601.78	1331.94	5143.22	11032.83932	11274.08763	1603.217575	North Central
Michigan	NC	25	1	37446	11.4	3284.736842	15.04	18.69	20830	12701-25400	10.77	66	187.57	3155.81	909.99	4484.04	10910.35247	11528.89477	1682.118273	North Central
Michigan	NC	26	0	37819	28.2	1341.099291	6.31	10.54	39087	38101-50800	42.21	53	25.13	115.61	276.47	2375.09	11034.46886	11270.79239	1624.168847	North Central
Michigan	NC	27	1	100850	37	2725.675676	5.6	7.7	48645	38101-50800	23.79	55	81.21	146.57	615.99	2660.06	11307.00715	10921.49437	1644.33062	North Central
Michigan	NC	28	1	10447	36.9	283.1165312	8.59	9.38	41806	38101-50800	9.94	48	9.32	242.24	847.85	1760.92	11164.74608	10806.21485	1702.906346	North Central
Michigan	NC	29	1	11631	6.7	1735.970149	7.69	9.96	47513	38101-50800	15.62	42	33.36	125.08	700.47	4561.37	11003.1975	11179.48845	1562.995937	North Central
Michigan	NC	30	1	42473	25.9	1639.88417	4.48	6.68	84441	>50800	58.49	53	45.83	126.02	435.34	2272.94	11172.12614	11245.08446	1618.540863	North Central
Michigan	NC	31	1	50677	9.8	5171.122449	3.09	5.27	24716	12701-25400	71.23	56	55.33	162.05	498	241.1	11159.20782	10903.51095	1671.183342	North Central
Michigan	NC	32	0	23285	7.5	3104.666667	4.33	6.72	19185	12701-25400	39.3	53	12.5	154.21	583.5	3459.34	11374.90772	11565.73979	1597.326343	North Central
Michigan	NC	33	0	11951	6	1991.833333	8.94	12.68	28989	25401-38100	19.93	64	7.74	201.11	642.02	5143.87	11401.13651	11094.08894	1652.725328	North Central
Michigan	NC	34	1	12180	2.8	4350	16.13	18.47	18956	12701-25400	3.27	68	310.29	922.25	1361.83	1723.84	11335.47655	10987.38033	1612.24909	North Central
Michigan	NC	35	0	21977	11.8	1862.457627	9.02	10.99	24365	12701-25400	30.09	64	13.44	107.53	246.43	2921.28	11199.28431	11363.8578	1632.850305	North Central
Michigan	NC	36	1	70811	24.5	2890.244898	10.82	14.91	32659	25401-38100	6.76	55	200.22	631.14	1057.7	4465.85	11221.97709	11033.32131	1610.123382	North Central
Michigan	NC	37	1	117810	38	3100.263158	5.96	8.39	46470	38101-50800	18.53	44	35.78	259.63	425.23	2882.56	11025.22752	10845.9227	1610.581974	North Central
Michigan	NC	38	1	21755	24.1	902.6970954	7.57	10.38	33646	25401-38100	20.49	55	40.57	76.63	486.84	2497.3	11022.23213	11227.39895	1646.882031	North Central
Michigan	NC	39	1	18405	4.4	4182.954545	13.11	16.53	25716	25401-38100	12.81	65	326.35	857.99	1115.91	3910.94	11241.13979	11194.87009	1599.949181	North Central
Michigan	NC	40	1	63891	25.2	2535.357143	9.7	12.84	31103	25401-38100	13.17	55	180.07	377.21	970.18	3469.37	11207.9333	10763.07941	1653.477075	North Central
Michigan	NC	41	1	25905	28.9	896.366782	8.86	9.82	42026	38101-50800	13.18	39	18.78	240.44	544.74	3189.57	11430.1936	10924.1456	1611.567774	North Central
Michigan	NC	42	1	12828	39.1	328.0818414	10.02	12.84	28745	25401-38100	10.41	58	7.59	83.46	386.95	1691.96	11240.66086	10945.15067	1508.747214	North Central
Michigan	NC	43	1	48655	36	1351.527778	6.38	8.13	47930	38101-50800	19.89	43	18	128.01	408.02	2046.12	11017.68479	11103.76978	1666.064687	North Central
Michigan	NC	44	1	1027974	143.7	7153.611691	15.75	19.62	18742	12701-25400	9.61	72	1362.78	1303.42	2315.46	4293.41	11023.71898	11459.27279	1628.990638	North Central
Michigan	NC	45	1	72884	34.7	2100.403458	5.9	8.28	55407	>50800	39.89	45	35.23	232.8	600.23	3236.48	11174.60599	10865.18291	1611.264709	North Central
Michigan	NC	46	1	11216	2.9	3867.586207	14.59	15.85	26179	25401-38100	5.39	65	229.63	376.6	1377.79	4160.93	11209.22523	10933.94683	1601.909726	North Central
Michigan	NC	47	1	40283	14.9	2703.557047	15.15	17.31	18748	12701-25400	8.22	70	347.49	1103.63	2787.23	7145.48	11226.51608	10834.07783	1641.563759	North Central
Michigan	NC	48	1	10092	2.8	3604.285714	3.84	7.32	66844	>50800	62.14	72	39.2	107.79	205.78	2028.42	11627.61757	11122.81638	1623.631282	North Central
Michigan	NC	49	1	13176	3.3	3992.727273	17.1	19.22	13778	12701-25400	4.55	66	475.35	1773.68	3064.92	7868.04	11370.09832	10995.96574	1657.519981	North Central
Michigan	NC	50	1	12818	4.6	2786.521739	16.82	20.16	8866	0-12700	3.29	66	1206.73	4932.5	5000.38	6637	11080.11784	11310.21908	1697.173749	North Central
Michigan	NC	51	1	21130	30.4	695.0657895	8.19	11.03	35151	25401-38100	23.59	59	27.64	124.37	267.16	1004.15	11494.14195	10924.23726	1632.834424	North Central
Michigan	NC	52	1	18811	23.3	807.3390558	9.21	14.36	38186	38101-50800	10.38	44	41.39	294.91	755.38	2586.92	11098.96205	11033.89469	1582.509739	North Central
Minnesota	NC	1	1	46070	16.3	2826.380368	5.83	9.54	48936	38101-50800	52.65	52	36.21	59.63	736.89	2881.54	10793.30897	11292.00057	1662.382309	North Central
Minnesota	NC	2	1	15216	35.4	429.8305085	5.51	5.49	46515	38101-50800	16.84	38	14.86	79.26	921.43	1813.14	11406.61214	11233.55933	1646.477951	North Central
Minnesota	NC	3	1	28335	10.5	2698.571429	9.83	12.48	36855	25401-38100	20.51	51	101.95	264.32	1011.97	5509.19	11645.58205	11696.90904	1649.67679	North Central
Minnesota	NC	4	1	20971	10.6	1978.396226	6.86	9.73	46212	38101-50800	41.98	54	43.21	43.21	667.34	2112.44	11548.71425	11968.75593	1690.178243	North Central
Minnesota	NC	5	1	28887	8.2	3522.804878	8.41	11.8	34168	25401-38100	14.1	56	172.56	201.32	1020.96	6654.2	11229.03764	11812.84692	1722.369352	North Central
Minnesota	NC	6	1	85493	70	1221.328571	9.25	12.13	23370	12701-25400	22.51	64	62.51	260.67	1013.2	3852.28	11301.17166	11430.21538	1687.037392	North Central
Minnesota	NC	7	1	16534	4.2	3936.666667	11.54	15.19	29584	25401-38100	26.02	49	44.05	188.79	711.09	1711.66	10718.10956	11546.69142	1654.24684	North Central
Minnesota	NC	8	0	14514	6.1	2379.344262	4.34	6.71	30613	25401-38100	35.68	46	6.21	74.54	385.12	2639.92	10875.86016	11338.13528	1627.99395	North Central
Minnesota	NC	9	1	34598	18	1922.111111	5.82	9.34	49981	38101-50800	36.59	38	14.94	72.21	537.82	2377.87	11459.21649	11661.45285	1754.276047	North Central
Minnesota	NC	10	1	22477	29.7	756.8013468	8.28	11.66	39378	38101-50800	18.58	42	12.13	121.31	776.35	2713.19	11360.04714	11492.24871	1648.948024	North Central
Minnesota	NC	11	0	11523	5.6	2057.678571	6.27	9.26	29492	25401-38100	16.51	48	7.89	78.91	315.66	3882.58	11208.90315	11579.27702	1644.223084	North Central
Minnesota	NC	12	0	10164	4.1	2479.02439	5.66	8.91	32073	25401-38100	27.33	49	0	17.39	130.41	2495.22	11357.44217	11253.40089	1691.582684	North Central
Minnesota	NC	13	1	50889	34.1	1492.346041	7.99	10.17	51314	>50800	41.39	38	21.41	90.6	446.39	2418.09	11036.43248	11562.71512	1651.998058	North Central
Minnesota	NC	14	1	11041	7.5	1472.133333	8.42	12.03	43929	38101-50800	29.74	36	14.95	22.42	261.6	904.4	11116.16207	11254.49714	1641.662054	North Central
Minnesota	NC	15	0	31468	11.7	2689.57265	4.9	7.64	22476	12701-25400	29.17	57	28.39	82.02	1037.89	5558.53	11106.08368	11399.36373	1650.298695	North Central
Minnesota	NC	16	1	56381	27	2088.185185	8.93	12.57	40018	38101-50800	20.89	43	117.97	315.14	829.13	3156.44	11105.16148	11130.81407	1651.341095	North Central
Minnesota	NC	17	1	38975	35	1113.571429	8.94	11.75	40404	38101-50800	14.63	40	40.14	118.07	736.77	4656.76	11146.27932	11482.56401	1681.673917	North Central
Minnesota	NC	18	0	21907	10	2190.7	7.56	9.72	22257	12701-25400	15.19	67	22.77	154.84	610.26	2941.98	11342.18588	11346.54064	1577.253446	North Central
Minnesota	NC	19	0	11245	11.5	977.826087	7.51	11.64	17390	12701-25400	25.28	59	32.04	112.14	728.93	8490.87	11132.94118	11139.59146	1698.986079	North Central
Minnesota	NC	20	1	17192	6.8	2528.235294	11	13.91	31289	25401-38100	16.42	48	35.62	124.68	985.57	3776.05	10955.4724	11460.50445	1657.359656	North Central
Minnesota	NC	21	0	17531	11	1593.727273	6.5	9.95	22279	12701-25400	16.66	51	37.49	235.66	632	4375.77	11168.10053	11369.40086	1674.617241	North Central
Minnesota	NC	22	1	18910	3.6	5252.777778	9.8	12.47	30469	25401-38100	12.56	59	201.68	256.19	1319.09	4317.02	11119.92175	11788.9566	1659.997975	North Central
Minnesota	NC	23	0	15440	9.4	1642.553191	8.72	10.57	36091	25401-38100	16.75	49	12.1	96.82	726.17	2232.98	11012.49345	11594.30983	1638.377574	North Central
Minnesota	NC	24	1	21853	5.3	4123.207547	7.52	11.65	36096	25401-38100	25.42	50	65.62	126.55	506.19	2465.32	11174.33293	11284.96527	1657.969735	North Central
Minnesota	NC	25	1	39311	33.6	1169.970238	7.04	10.02	52956	>50800	46.79	33	14.47	57.86	524.88	2764.92	11527.70572	11762.04303	1644.900415	North Central
Minnesota	NC	26	1	38736	34	1139.294118	5.88	8.54	50611	38101-50800	28.49	36	10.62	63.71	499.04	2089.62	11211.94591	11212.72863	1646.289261	North Central
Minnesota	NC	27	1	22935	35.2	651.5625	5	7.61	46027	38101-50800	19.13	44	59.08	125.55	398.8	2326.35	11095.29754	11400.21045	1634.30099	North Central
Minnesota	NC	28	0	17085	12	1423.75	9.58	11.4	24604	12701-25400	15.95	61	44.3	94.14	985.71	4247.42	10659.34433	11678.51065	1653.901253	North Central
Minnesota	NC	29	1	12541	4.3	2916.511628	9.5	12.53	37117	25401-38100	18.05	46	30.51	221.17	518.61	3027.76	11030.09164	11488.24958	1648.696788	North Central
Minnesota	NC	30	0	18046	188.2	95.88735388	7.67	9.94	22378	12701-25400	14.84	65	0	22.44	229.96	1295.64	11071.31262	11133.58464	1635.335145	North Central
Minnesota	NC	31	1	51288	25.8	1987.906977	7.63	11.91	43620	38101-50800	34.29	40	28.78	46.76	458.64	4075.61	11242.10114	11468.42116	1682.265955	North Central
Ohio	NC	1	1	31300	11.6	2698.275862	9.77	13.82	27558	25401-38100	20.97	54	29.94	69.86	615.48	2585	11377.44773	11114.04795	1550.903368	North Central
Ohio	NC	2	0	12233	4.8	2548.541667	10.52	12.75	23684	12701-25400	9.37	71	0	46.52	31.01	690.08	11511.48831	11315.98653	1533.898671	North Central
Ohio	NC	3	0	20079	9.8	2048.877551	9.08	12.52	24536	12701-25400	18.11	62	9.43	18.86	320.68	1796.75	11808.43235	11386.13221	1547.706569	North Central
Ohio	NC	4	1	14870	14	1062.142857	6.38	9.01	36979	25401-38100	20.49	52	65.01	117.01	676.07	2593.77	11475.36955	11075.28119	1556.079668	North Central
Ohio	NC	5	0	26778	10.8	2479.444444	13.41	17.11	17658	12701-25400	9.44	70	147	573.32	837.93	3590.59	11408.70241	11431.12627	1509.404111	North Central
Ohio	NC	6	1	45549	13.1	3477.022901	15.83	16.12	21061	12701-25400	8.39	67	464.45	1759.07	2263.91	4895.78	11337.42519	11424.20994	1588.502169	North Central
Ohio	NC	7	1	18548	21.2	874.9056604	4.49	6.49	54005	>50800	38.03	45	24.32	34.05	243.19	1478.6	11870.78018	11355.41281	1579.434317	North Central
Ohio	NC	8	0	10891	5.2	2094.423077	9.02	11.43	25324	12701-25400	12.04	69	0	329.4	936.2	3484.74	11927.02769	11521.72133	1530.67228	North Central
Ohio	NC	9	1	15745	4.1	3840.243902	13.75	21.91	27893	25401-38100	12.44	56	436.49	417.51	721.15	2233.05	11438.09739	11425.2359	1603.467322	North Central
Ohio	NC	10	1	39983	29.5	1355.355932	6.73	8.93	47335	38101-50800	36.01	47	60.07	34.33	605.02	3376.96	11520.01711	11239.33173	1611.863848	North Central
Ohio	NC	11	1	14790	1.9	7784.210526	4.4	7.76	43376	38101-50800	47	69	97.77	125.71	432.99	1298.97	11432.44979	11183.92508	1594.199108	North Central
Ohio	NC	12	1	61368	20.7	2964.637681	12.24	16.13	22886	12701-25400	9.9	67	377.31	921.81	1766.93	4431.12	11552.33865	11882.57613	1592.883834	North Central
Ohio	NC	14	1	15561	8.7	1788.62069	6.72	10.33	36901	25401-38100	21.16	58	106.99	232.85	465.7	3580.87	11677.178	11563.58444	1591.692384	North Central
Ohio	NC	15	1	23674	3.2	7398.125	14.01	17.17	22191	12701-25400	8.4	78	271.42	146.84	965.56	4516.33	11621.33412	11256.83246	1558.926863	North Central
Ohio	NC	16	1	71245	24.9	2861.24498	10.85	14.66	24123	12701-25400	7.67	61	117.93	113.71	1007.99	1475.48	11317.85506	11938.92044	1565.391266	North Central
Ohio	NC	17	1	31007	13.7	2263.284672	9.83	14.3	23819	12701-25400	8.19	71	111.36	111.36	827.21	2946.14	11651.44085	11165.14913	1554.27711	North Central
Ohio	NC	18	1	12339	5.2	2372.884615	3.25	4.27	42240	38101-50800	16.85	52	16.54	33.07	165.37	711.1	11690.58513	10868.39468	1561.438912	North Central
Ohio	NC	19	1	12697	35.7	355.6582633	8.77	11.21	31617	25401-38100	6.79	44	7.67	53.66	498.31	1065.62	11414.78822	11631.54	1533.833068	North Central
