username,submission_week,function_summaries
aubohlin,10,"['LinearRegression', 'abs', 'ax.plot', 'ax.set_title', 'ax.set_xlabel', 'ax.set_ylabel', 'bigquery.Client', 'bigquery_client.query', 'cols_plot.data.plot', 'csv.writer', 'data.corr', 'data.drop', 'data.head', 'data.plot', 'data.sample', 'data.set_index', 'data.shift', 'df_pred.df_pred.where.dropna', 'df_pred.df_un.where.dropna', 'df_pred.where', 'df_un.df_un.sort', 'df_un.df_un.sort_values', 'df_un.df_un.sort_values.drop_duplicates', 'df_un.df_un.sort_values.drop_duplicates.set_index', 'df_un.df_un.sortby', 'df_un.df_un.where.dropna', 'df_un.where', 'df_wage.head', 'df_working.mean', 'enumerate', 'import', 'key.tract_dict.ewm', 'key.tract_dict.ewm.mean', 'key.tract_dict.mean', 'key.tract_dict.rolling', 'key.tract_dict.rolling.mean', 'max', 'min', 'model.fit', 'model.predict', 'np.cumsum', 'np.linspace', 'np.random.randn', 'open', 'pd.Series', 'pd.to_datetime', 'plot_acf', 'plt.figure', 'plt.legend', 'plt.plot', 'plt.show', 'plt.subplots', 'prediction_dict.items', 'print', 'query_job.to_dataframe', 'querydb', 'sns.boxplot', 'sns.heatmap', 'sns.set', 'str', 'tract.df_un.df_un.sort_values', 'tract.df_un.df_un.sort_values.drop_duplicates', 'tract.df_un.df_un.sort_values.drop_duplicates.set_index', 'tract.head', 'tract_dict.head', 'tract_dict.items', 'tract_dict.plot', 'tract_dict.tail', 'writer.writerow', 'y.plot', 'y_pred.plot', 'zip']"
avprasad125,10,"['bigquery.Client', 'bigquery_client.query', 'import', 'np.cumsum', 'np.linspace', 'np.random.randn', 'plt.figure', 'plt.legend', 'plt.plot', 'query_job.to_dataframe']"
beingmerry,10,[]
cadenjarausch,10,[]
cardshistory,10,[]
carrol54,10,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'import', 'print', 'query_job.to_dataframe']"
crystalhappycat,10,"['bigquery.Client', 'bigquery_client.query', 'client.list_tables', 'covid19_cases_data.head', 'df.mean', 'format', 'import', 'pandas.DataFrame', 'prediction_data.head', 'print', 'query_job.to_dataframe', 'unemployment_data.head', 'wage_data.head']"
dadal09,10,"['bigquery.Client', 'bigquery_client.query', 'import', 'print', 'query_job.to_dataframe', 'unemployment_data.drop_duplicates']"
dayoonsuh,10,"['ARMAmodel.fit', 'ARMAmodel.get_forecast', 'ARMAmodel.predict', 'LinearRegression', 'RandomForestRegressor', 'SARIMAX', 'StandardScaler', 'X.head', 'average_wage.median', 'bigquery.Client', 'bigquery_client.query', 'claim_sum_week.first', 'claim_sum_week.head', 'claims.append', 'covid19_cases_data.head', 'covid19_cases_data.sort_values', 'csv.writer', 'csvwriter.writerow', 'csvwriter.writerows', 'data.drop', 'data.groupby', 'data.groupby.sum', 'data.groupby.sum.reset_index', 'data.head', 'data.sort_values', 'data.total_claims.astype', 'data.total_claims.median', 'data.total_claims.values.reshape', 'data.tract.unique', 'data.week_number.values.reshape', 'data_count.items', 'errors', 'f', 'f10', 'float', 'float.data.total_claims.astype.values.reshape', 'groupby_id.first', 'groupby_id.get_group', 'groupby_id.to_dict', 'import', 'int', 'len', 'lessthanten.append', 'list', 'lm.fit', 'mean_absolute_error', 'mean_squared_error', 'median', 'metrics.mean_absolute_error', 'metrics.mean_squared_error', 'metrics.r2_score', 'np.arange', 'np.array', 'np.asarray', 'np.linspace', 'np.mean', 'np.poly1d', 'np.polyfit', 'np.sqrt', 'open', 'pd.DataFrame', 'pd.concat', 'pd.merge', 'pd.read_csv', 'plt.grid', 'plt.legend', 'plt.line', 'plt.plot', 'plt.scatter', 'plt.show', 'plt.title', 'plt.xlabel', 'plt.ylabel', 'predict_claim', 'predict_claim.head', 'predict_claims', 'prediction_list.tolist', 'prediction_list.uu_id.tolist', 'prediction_list.uu_id.value_counts', 'prediction_list.uu_id.value_counts.to_dict', 'predictions.apply', 'predictions.tolist', 'preprocessing.scale', 'print', 'query_job.to_dataframe', 'r2_score', 'range', 'regr.fit', 'regr.predict', 'regressor.fit', 'regressor.predict', 'result.head', 'result.np.array.reshape', 'result.prediction.iloc.round', 'result.reshape', 'result.sort_values', 'rfr.fit', 'rfr.predict', 'rfr.score', 'round', 'rows.append', 'sc.fit_transform', 'sc.transform', 'scale', 'shape', 'sns.heatmap', 'train_test_split', 'unemployment_data.drop', 'unemployment_data.drop.head', 'unemployment_data.drop_duplicates', 'unemployment_data.drop_duplicates.fillna', 'unemployment_data.dropna', 'unemployment_data.duplicated', 'unemployment_data.edu_grades_9_11.unique', 'unemployment_data.fillna', 'unemployment_data.fillna.corr', 'unemployment_data.filter', 'unemployment_data.groupby', 'unemployment_data.groupby.median', 'unemployment_data.groupby.median.get_group', 'unemployment_data.groupby.pd.DataFrame.head', 'unemployment_data.groupby.sum', 'unemployment_data.head', 'unemployment_data.isnull', 'unemployment_data.isnull.sum', 'unemployment_data.nunique', 'unemployment_data.shape', 'unemployment_data.sort_values', 'unemployment_data.sort_values.reindex', 'unemployment_data.sort_values.reset_index', 'unemployment_data.tail', 'unemployment_data.top_category_employer1.head', 'unemployment_data.tract.count', 'unemployment_data.tract.count.sum', 'unemployment_data.tract.duplicated', 'unemployment_data.tract.duplicated.sum', 'unemployment_data.tract.duplicates', 'unemployment_data.tract.isnull', 'unemployment_data.tract.isnull.sum', 'unemployment_data.tract.nunique', 'unemployment_data.tract.unique', 'unemployment_data.tract.unique.sum', 'unemployment_data.tract.value_counts', 'unemployment_data.tract.value_counts.sort_values', 'unemployment_data.usnull', 'unemployment_data.usnull.sum', 'unemployment_data.uu_id.count_values', 'unemployment_data.uu_id.tolist', 'unemployment_data.uu_id.unique', 'unemployment_data.uu_id.unique.count', 'unemployment_data.uu_id.unique.sum', 'unemployment_data.uu_id.value_counts', 'unemployment_data.uu_id.value_counts.sort', 'unemployment_data.uu_id.value_counts.to_dict', 'unemployment_data.uu_id.value_counts.tolist', 'unemployment_data.uu_ids.count_values', 'uuid.unemployment_data.uu_id.unemployment_data.copy', 'uuids.remove', 'wage.isnull', 'wage.isnull.sum', 'wage.tract.nunique', 'wage_data.average_wage.fillna', 'wage_data.average_wage.median', 'wage_data.drop_duplicates', 'wage_data.fillna', 'wage_data.filter', 'wage_data.head', 'wage_data.isnull', 'wage_data.isnull.sum', 'wage_data.tract.nunique', 'wage_data.uu_id.nunique', 'warnings.filterwarnings', 'y_pred.conf_int', 'y_pred.flatten', 'y_pred.tolist', 'y_test.flatten', 'y_test.tolist', 'y_test.values.ravel', 'y_train.values.ravel']"
deep-2d20,10,[]
destryed,10,"['RandomForestRegressor', 'StandardScaler', 'StandardScaler.fit_transform', 'abs', 'adfuller', 'autocorrelation_plot', 'ax.fill_between', 'ax.set_xlabel', 'ax.set_ylabel', 'bigquery.Client', 'bigquery_client.query', 'bigqury_client.query', 'col.df3.astype', 'col.df3.nunique', 'col.df3.replace', 'col.df3.str.replace', 'col.np.nan.df3.df3.unique', 'covid19_cases_data.head', 'data.head', 'df.astype', 'df.copy', 'df.corr', 'df.drop', 'df.mean', 'df.replace', 'df.uu_id_enc.nunique', 'df1.head', 'df1.to_csv', 'df1.uu_id.nunique', 'df1.uu_id.unique', 'df2.head', 'df2.uu_id.nunique', 'df3.abs.sum', 'df3.astype', 'df3.columns.remove', 'df3.columns.str.replace', 'df3.copy', 'df3.corr', 'df3.drop', 'df3.dropna', 'df3.fillna', 'df3.fillna.replace', 'df3.race_white.unique', 'df3.replace', 'df3.split', 'df3.str.replace', 'df3.str.split', 'df3.sum', 'df3.test_df.pd.merge.drop', 'df3.test_df.pd.merge.drop.drop_duplicates', 'df3.time.unique', 'df3.timeperiod.unique', 'df3.timeperiods.unique', 'df3.unique', 'df3.uu_id.nunique', 'df3.uu_id.unique', 'df3.uu_id_enc.nunique', 'df3.uu_id_enc.unique', 'df3.week_number.df3.sort_values', 'df3_.drop_duplicates', 'df3_.plot', 'df3_.week_number.unique', 'df4.total_claims.df4.total_claims.df4.all', 'features.k.k.test_df.drop', 'final_pred', 'float', 'format', 'g.week_number.g.mean', 'import', 'int', 'itertools.cycle', 'itertools.product', 'k.df3.sum', 'k.df3.uu_id.df3.mean', 'li.append', 'list', 'mean', 'metrics.mean_absolute_error', 'metrics.mean_squared_error', 'mod.fit', 'next', 'no.log', 'np.array', 'np.exp', 'np.isnan', 'np.log', 'np.mean', 'np.nan.df3.df3.unique', 'np.nan.temp.temp.unique', 'np.sqrt', 'opt_features', 'opt_features2', 'pandas.DataFrame', 'pd.DataFrame', 'pd.Datetime', 'pd.concat', 'pd.merge', 'pd.read_csv', 'pd.to_datetime', 'pd.tools.plotting.autocorrelation_plot', 'plt.legend', 'plt.show', 'plt.subplots', 'pred.conf_int', 'pred.predicted_mean.plot', 'print', 'query_job.to_dataframe', 'query_job.todataframe', 'query_job1.to_dataframe', 'query_job2.to_dataframe', 'query_job3.to_DataFrame', 'query_job3.to_dataframe', 'range', 'reg.fit', 'reg.predict', 'res.sum', 'results.get_prediction', 'results.get_prediction.plot', 'results.plot_diagnostics', 'results.summary', 'rf.fit', 'rf.predict', 'rg', 'round', 'sc.fit_transform', 'sc.optimize', 'sc.transform', 'scipy.optimize', 'scipy.optimize.maximize', 'scipy.optimize.minimize', 'set', 'sm.tsa.statespace.SARIMAX', 'sns.color_palette', 'sns.heatmap', 'sns.lineplot', 'sns.scatterplot', 'sp.optimize', 'statistics.mean', 'str', 'str.df3.unique', 'submission_prediction_output.fillna', 'submission_prediction_output.isna', 'submission_prediction_output.isna.values.any', 'submission_prediction_output.isnull', 'submission_prediction_output.isnull.values.any', 'submission_prediction_output.to_csv', 'submission_prediction_output.total_claims.nunique', 'submission_prediction_output.uu_id.nunique', 'submission_prediction_output.uu_id.unique', 'submission_prediction_output.uu_id_enc.unique', 'sum', 'temp.astype', 'temp.drop', 'temp.replace', 'temp.sort_values', 'temp2.drop', 'tesmp.replace', 'test_df.astype', 'test_df.copy', 'test_df.drop', 'test_df.drop_duplicates', 'test_df.drop_duplicates.dropna', 'test_df.isna', 'test_df.race_black.unique', 'test_df.to_csv', 'test_df.total_claims.unique', 'test_df.uu_id.unique', 'test_df.uu_id_enc.unique', 'test_df.week_number.test_df.sort_values', 'test_df3.fillna', 'test_features.drop', 'test_features.dropna', 'test_features.dropna.drop', 'test_features.dropna.drop.drop_duplicates', 'time_pred', 'train_test_split', 'unemp_data.head', 'val.predict', 'wage_data.head', 'xgb.XGBRegressor', 'y.plot']"
divya2890,10,"['LinearRegression', 'Unemployment_data.head', 'Unemployment_data.shape', 'X_test.head', 'X_test.index', 'X_test.shape', 'a.astype', 'a.rename', 'a.replace', 'a.style.hide_index', 'a.to_csv', 'a.to_string', 'abs', 'astype', 'bigquery.Client', 'bigquery_client.query', 'count.a.astype', 'covid19_cases_data.head', 'data.astype', 'data.columns', 'data.corr', 'data.drop', 'data.fillna', 'data.head', 'data.max', 'data.min', 'import', 'metrics.mean_absolute_error', 'metrics.mean_squared_error', 'model.fit', 'model.predict', 'pd.DataFrame', 'pd.Dataframe', 'pd.to_csv', 'plt.figure', 'plt.show', 'print', 'query_job.to_dataframe', 'sns.heatmap', 'test.astype', 'test.drop', 'test.fillna', 'y_pred.shape']"
dougcrabill,10,"['ExponentialSmoothing', 'IterativeImputer', 'IterativeImputer.fit', 'LinearRegression', 'SimpleImputer', 'VARMAX', 'X.X.loc.values.reshape', 'X.dropna', 'X_train.head', 'abs', 'allweeks.drop', 'allweeks.fillna', 'allweeks.join', 'allweeks.loc', 'allweeks.mean', 'allweeks.median', 'allweeks.set_index', 'allweeks.shape', 'allweeks.to_numpy', 'allweeks.to_numpy.shape', 'allweeks.values.len', 'allweeks.values.range', 'bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'data.append', 'data.corr', 'data.corr.round', 'data.drop', 'data.head', 'data.tail', 'data.values', 'data.values.np.array.reshape', 'data.values.reshape', 'describe', 'df.fillna', 'df.fillna.to_numpy', 'df.fillna.to_numpy.flatten', 'df.mean', 'df.to_numpy', 'df.to_numpy.flatten', 'df.to_numpy.flatten.fillna', 'display', 'dopred', 'dp.dataframe', 'empdata.astype', 'empdata.columns', 'empdata.corr', 'empdata.describe', 'empdata.describe.transpose', 'empdata.describe.transpose.shape', 'empdata.drop', 'empdata.drop_duplicates', 'empdata.dropna', 'empdata.edu_grades_9_11.loc', 'empdata.edu_grades_9_11.plot', 'empdata.empdata.empdata.loc.values.reshape', 'empdata.empdata.loc.describe', 'empdata.empdata.loc.drop', 'empdata.empdata.loc.drop_duplicates', 'empdata.empdata.loc.loc.plot', 'empdata.empdata.loc.mean', 'empdata.empdata.loc.median', 'empdata.empdata.loc.plot', 'empdata.empdata.loc.reshape', 'empdata.empdata.loc.values.dp.dataframe.plot', 'empdata.empdata.loc.values.pandas.dataframe.plot', 'empdata.empdata.loc.values.plot', 'empdata.empdata.loc.values.reshape', 'empdata.get_dummies', 'empdata.getdummies', 'empdata.head', 'empdata.head.transpose', 'empdata.keys', 'empdata.keys.drop', 'empdata.loc', 'empdata.loc.describe', 'empdata.max', 'empdata.mean', 'empdata.median', 'empdata.nunique', 'empdata.plot', 'empdata.plot.box', 'empdata.plot.scatter', 'empdata.replace', 'empdata.set_index', 'empdata.shape', 'empdata.shift', 'empdata.sort', 'empdata.sort_values', 'empdata.sort_values.plot', 'empdata.sum', 'empdata.transpose', 'empdata.transpose.head', 'empdata.unique', 'empdata.unique.np.sort', 'empdata.unique.numpy.sort', 'empdata.unique.reshape', 'empdata.unique.sort', 'empdata.unique.sort_values', 'empdata.unique.sorted', 'empdata.uupred.pd.merge.head', 'empdata.value_sort', 'empdata.values', 'empdata.values.reshape', 'empdata.values.reshape.sort', 'empdata.values.reshape.sort_values', 'empdata.values.sort', 'empdata.values.sort_values', 'empdata.values_sort', 'example_function', 'final_prediction_data.drop', 'future_regressor.fit', 'future_regressor.predict', 'future_weeks_pred.astype', 'head', 'help', 'i.empdata.empdata.loc.mean', 'i.empdata.empdata.loc.to_list', 'imp_mean.fit', 'imp_mean.transform', 'import', 'imputer.fit', 'imputer.transform', 'int', 'int64', 'last_week.range.pd.DataFrame.join', 'lastw.range.pd.DataFrame.join', 'len', 'list', 'load_lynx', 'load_wineind', 'm.fit', 'm.fit.predict', 'm.predict', 'm_fit.predict', 'm_fit.simulate', 'meancpw.append', 'metrics.mean_absolute_error', 'metrics.mean_absolute_percentage_error', 'metrics.mean_squared_error', 'model.fit', 'model.predict', 'model.score', 'model_fit.forecast', 'model_fit.simulate', 'np.array', 'np.asarray', 'np.cumsum', 'np.linspace', 'np.plot', 'np.random.randn', 'np.sort', 'np.sqrt', 'pandas.DataFrame', 'pandas.dataframe', 'pd.DataFrame', 'pd.Series', 'pd.get_dummies', 'pd.join', 'pd.merge', 'pd.to_datetime', 'plot', 'plt.figure', 'plt.legend', 'plt.plot', 'plt.scatter', 'plt.show', 'pm.auto_arima', 'pm.datasets.load_wineind', 'pm.plot_acf', 'print', 'qtables.head', 'query_from_statement', 'query_job.to_dataframe', 'query_job.to_dataframe.drop_duplicates', 'query_job.to_dataframe.drop_duplicates.fillna', 'race_hawaiiannative.empdata.nunique', 'random', 'range', 'range.pd.DataFrame.join', 'regressor.fit', 'regressor.predict', 'shape', 'sns.heatmap', 'sort', 'str', 'sum', 'testuu_id', 'testuu_id.allweeks.join.fillna', 'testuu_id.fillna', 'testuu_id.index', 'testuu_id.join', 'testuu_id.last_week.range.pd.DataFrame.join.fillna', 'testuu_id.lastw.range.pd.DataFrame.join.fillna', 'testuu_id.median', 'testuu_id.median.int', 'testuu_id.range.pd.DataFrame.join.fillna', 'testuu_id.set_index', 'train_test_split', 'unemployclaims_supplemental_data.drop', 'unemployclaims_supplemental_data.drop_duplicates', 'unemployclaims_supplemental_data.fillna', 'unemployclaims_supplemental_data.head', 'unemployclaims_supplemental_data.join', 'unemployclaims_supplemental_data.set_index', 'unemployment_claims_data.drop_duplicates', 'unemployment_claims_data.duplicated', 'unemployment_claims_data.fillna', 'unemployment_claims_data.isna', 'unemployment_claims_data.isna.sum', 'unemployment_claims_data.join', 'unemployment_prediction_data.head', 'unemployment_prediction_data.join', 'unemployment_wage_data.duplicated', 'unemployment_wage_data.fillna', 'unemployment_wage_data.isna', 'unemployment_wage_data.isna.sum', 'unemployment_wage_data.set_index', 'uu.uupred.uupred.loc.flatten', 'uupread.head', 'uupred.astype', 'uupred.at', 'uupred.concat', 'uupred.describe', 'uupred.drop', 'uupred.drop.join', 'uupred.dtypes', 'uupred.head', 'uupred.join', 'uupred.loc', 'uupred.max', 'uupred.merge', 'uupred.merge.join', 'uupred.to_csv', 'uupred.uupred.loc.flatten', 'uupred.values.shape', 'wagedata.head', 'week37.rename', 'weekdata.plot.box', 'weeks.sort', 'weeks.sorted', 'weeks.to_numpy.sort', 'weeks.to_numpy.sorted', 'x.append', 'x.plot', 'y.align', 'y.plot', 'y_pred.fillna', 'y_pred.flatten', 'y_pred.plot', 'y_pred.reshape', 'y_pred.values', 'y_pred.view', 'y_test.flatten', 'y_test.reshape', 'y_test.reshape.flatten', 'y_test.reshape.to_numpy.flatten', 'y_test.to_numpy', 'y_test.to_numpy.flatten']"
drsuriya1991,10,[]
dwijenchawra,10,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'import', 'print', 'query_job.to_dataframe']"
dylanadal0,10,"['bigquery.Client', 'bigquery_client.query', 'import', 'print', 'query_job.to_dataframe']"
esquared13,10,"['LinearRegression', 'abs', 'bigquery.Client', 'bigquery.erinenzinger', 'bigquery_client.query', 'data.corr', 'data.drop', 'data.head', 'data.loc', 'data.plot', 'data.sample', 'data.set_index', 'data.values.reshape', 'import', 'max', 'min', 'model.fit', 'model.predict', 'np.cumsum', 'np.linspace', 'np.random.randn', 'pd.Series', 'pd.to_datetime', 'plt.figure', 'plt.legend', 'plt.plot', 'plt.show', 'print', 'query_job.to_dataframe', 'regressor.fit', 'sns.heatmap', 'sns.set', 'str', 'train_test_split', 'unemployment_data.head']"
